gender,raceethnicity,state,classification,lawenforcementagency,armed
Male,Black,FL,Gunshot,Fort Lauderdale Police Department,Other
Male,Hispanic/Latino,TX,Gunshot,El Paso Police Department,Firearm
Male,White,PA,Gunshot,Pennsylvania State Police,Non-lethal firearm
Male,White,MO,Gunshot,Pettis County Sheriff's Office,Firearm
Male,Black,MI,Gunshot,Detroit Police Department,Firearm
Male,White,AZ,Gunshot,Eagar Police Department and Apache County Sheriff's Office,Firearm
Female,White,TX,Gunshot,Austin Police Department,Firearm
Male,Black,NY,Gunshot,New York Police Department,Firearm
Male,Black,AL,Gunshot,Huntsville Police Department,Knife
Male,White,WA,Gunshot,Snohomish County Sheriff's Office,Firearm
Male,White,NJ,Gunshot,Monmouth County Emergency Response Team,Knife
Male,White,KS,Taser,Kansas City KS Police Department,No
Male,White,OK,Gunshot,Edmond Police Department,Non-lethal firearm
Male,White,LA,Gunshot,FBI,Unknown
Male,White,CA,Gunshot,San Diego County Sheriff's Department,Other
Male,White,GA,Gunshot,Putnam County Sheriff's Department,Knife
Male,Black,CO,Gunshot,Northglenn Police Department and Thornton Police Department,Firearm
Male,Arab-American,CA,Gunshot,Long Beach Police Department,No
Male,White,SC,Gunshot,Lancaster County Sheriff's Department,Firearm
Male,Black,GA,Gunshot,Carrolton Police Department,Firearm
Male,White,MI,Gunshot,Trenton Police Department,Other
Male,Black,NJ,Gunshot,Lyndhurst Police Department,Knife
Male,White,OK,Gunshot,Oklahoma Highway Patrol,Unknown
Male,White,OR,Gunshot,Oregon State Police,Unknown
Male,White,AZ,Gunshot,Yavapai County SheriffŠ—Ès Office,No
Male,Hispanic/Latino,TN,Gunshot,Metro Nashville Police Department,Non-lethal firearm
Male,Black,NY,Taser,Rochester Police Department,No
Male,White,TX,Gunshot,Palestine Police Department,Non-lethal firearm
Male,White,NY,Gunshot,Greece Police Department,Firearm
Male,White,OR,Gunshot,Medford Police Department,Firearm
Male,Black,MA,Gunshot,Boston Police Department and FBI,Knife
Male,White,KY,Taser,Louisa Police Department,No
Male,Arab-American,TX,Gunshot,Tarrant County Sheriff's Office,Knife
Male,Hispanic/Latino,TX,Gunshot,Ellis County Sheriff's Department and Texas DPS,Firearm
Male,Hispanic/Latino,TX,Gunshot,Houston Police Department,Knife
Male,White,NJ,Gunshot,Byram Police Department,Firearm
Male,White,OH,Death in custody,Knox County Sheriff's Office,No
Male,Black,PA,Struck by vehicle,Chester Police Department,Firearm
Male,Hispanic/Latino,CA,Gunshot,Delano Police Department,Firearm
Male,Hispanic/Latino,NM,Gunshot,Valencia County SheriffŠ—Ès Department,Unknown
Male,Black,PA,Gunshot,Philadelphia Police Department,Firearm
Male,Hispanic/Latino,CA,Gunshot,Santa Maria Police Department,Firearm
Male,White,CA,Struck by vehicle,San Francisco Police Department,No
Male,Hispanic/Latino,CO,Gunshot,Arapahoe County Sheriff's Office,Firearm
Male,Black,CA,Gunshot,Oakland Police Department,Firearm
Male,Hispanic/Latino,CA,Gunshot,Watsonville Police Department,Firearm
Male,White,TX,Gunshot,Midland Police Department,Knife
Female,White,WV,Gunshot,Monongalia County SheriffŠ—Ès Department,Vehicle
Male,White,FL,Gunshot,North Port Police Department,Firearm
Male,White,OK,Gunshot,Sand Springs Police Department,Firearm
Male,White,WA,Gunshot,Woodland Police Department,Firearm
Male,White,FL,Gunshot,Melbourne Police Department,Firearm
Male,White,IN,Gunshot,Beech Grove Police Department,Firearm
Male,Hispanic/Latino,CA,Gunshot,Anaheim Police Department,Knife
Male,Black,TX,Taser,Dallas Police Department,No
Male,Hispanic/Latino,NY,Taser,New York Police Department,Other
Male,White,OH,Gunshot,Findlay Police Department,No
Male,White,AZ,Gunshot,Maricopa County Sheriff's Office,Firearm
Male,Black,TX,Gunshot,DeSoto Police Department,Unknown
Male,White,IA,Gunshot,Des Moines Police Department,No
Male,White,TX,Gunshot,"Montgomery County Sheriff's Office, Tomball Police Department",Firearm
Male,Black,OH,Gunshot,Cincinnati Police Department,Firearm
Male,Black,NY,Gunshot,New York Police Department,Firearm
Male,Black,FL,Gunshot,Broward Sheriff's Office,Firearm
Male,Black,FL,Gunshot,Miami Police Department,Other
Male,White,TN,Gunshot,Columbia Police Department,Firearm
Male,Hispanic/Latino,NJ,Gunshot,Hackensack Police Department,Knife
Male,Hispanic/Latino,TX,Gunshot,Bexar County Sheriff's Office,Firearm
Female,White,IN,Gunshot,Kokomo Police Department,Non-lethal firearm
Male,White,TX,Gunshot,Dallas Police Department,Firearm
Male,White,WV,Death in custody,West Virginia Division of Corrections,No
Male,Black,KY,Gunshot,Louisville Metro Police Department,Other
Male,White,IN,Gunshot,Fort Wayne Police Department,Firearm
Female,White,SC,Gunshot,Aiken County Sheriff's Office,Unknown
Male,Hispanic/Latino,CA,Gunshot,Stockton Police Department,Vehicle
Male,White,FL,Gunshot,Brevard County Sheriff's Office,Firearm
Male,Black,CA,Gunshot,South Lake Tahoe Police Department,No
Female,White,NJ,Gunshot,Neptune Police Department,No
Male,White,CA,Gunshot,Visalia Police Department,Firearm
Male,Black,SC,Struck by vehicle,Greenville County Sheriff's Office,No
Male,Black,FL,Death in custody,Indian River County Sheriff's Office,No
Female,White,AL,Gunshot,Alabama Law Enforcement Agency,Firearm
Male,Native American,ND,Gunshot,Spirit Lake Tribal Police Department,Firearm
Male,White,NY,Gunshot,New York Police Department,Knife
Male,White,NM,Gunshot,Hobbs Police Department,Firearm
Male,Black,OH,Gunshot,Cincinnati Police Department,Firearm
Male,Hispanic/Latino,CO,Gunshot,Greeley Police Department,Firearm
Male,Hispanic/Latino,MA,Gunshot,Massachusetts State Police,Knife
Male,White,TX,Gunshot,Harris County Sheriff's Office,Other
Male,Hispanic/Latino,CA,Gunshot,Azusa Police Department,No
Male,White,NC,Gunshot,Wilkes County Sheriff's Office,Firearm
Male,Black,PA,Gunshot,Pittsburgh Police Department,Firearm
Male,White,GA,Gunshot,Richmond County Sheriff's Office,Firearm
Male,Hispanic/Latino,CA,Gunshot,Citrus Heights Police Department,Firearm
Male,White,KS,Gunshot,Hutchinson Police Department,Knife
Male,White,IN,Gunshot,Indianapolis Metropolitan Police Department,No
Male,White,TX,Gunshot,Weatherford Police Department,Knife
Male,Black,VA,Gunshot,York-Poquoson SheriffŠ—Ès Office,Firearm
Male,Black,MD,Gunshot,Baltimore County Police Department,No
Male,Hispanic/Latino,ID,Death in custody,"Owyhee County Sheriff's Office, Homedale Police Department, Owyhee County Posse",No
Male,White,CA,Gunshot,Fresno County Sheriff's Office,Firearm
Male,White,NY,Gunshot,Federal law enforcement agents,Firearm
Male,Black,IL,Gunshot,Chicago Police Department,Firearm
Male,Hispanic/Latino,TX,Gunshot,San Antonio Police Department,Firearm
Male,White,OK,Gunshot,Tahlequah Police Department,Firearm
Male,White,OR,Gunshot,Portland Police Bureau,Non-lethal firearm
Male,White,NY,Gunshot,"Saratoga County Sheriff's Office, New York State Police",Firearm
Male,Hispanic/Latino,AZ,Gunshot,Mesa Police Department,Firearm
Male,White,NC,Gunshot,Franklin Police Department,Firearm
Male,White,OH,Struck by vehicle,Clayton Police Department,No
Male,Black,OR,Gunshot,Yamhill County Sheriff's Office,No
Male,White,MA,Gunshot,Brockton Police Department,Non-lethal firearm
Male,White,NC,Struck by vehicle,Winston Salem Police Department,No
Male,White,WA,Death in custody,Island County Sheriff's Office,No
Male,White,OR,Gunshot,"Oregon State Police, ATF",Firearm
Male,White,FL,Gunshot,Miami Beach Police Department,Firearm
Male,Black,FL,Gunshot,Jacksonville Sheriff's Office,Unknown
Male,Unknown,WV,Gunshot,"West Virginia State Police, Summers County Sheriff's Department",Other
Male,Asian/Pacific Islander,CA,Gunshot,San Diego Police Department,Knife
Male,Black,VA,Gunshot,Newport News Police Department,Firearm
Male,Hispanic/Latino,NJ,Gunshot,Camden County Police Department,Firearm
Male,Hispanic/Latino,CA,Gunshot,Los Angeles County Sheriff's Department,Firearm
Male,Hispanic/Latino,CA,Gunshot,West Covina Police Department,Knife
Male,Hispanic/Latino,CA,Death in custody,Montclair Police Department,No
Male,Black,OK,Gunshot,Oklahoma City Police Department,Firearm
Male,White,NV,Gunshot,Henderson Police Department,Firearm
Male,White,TN,Gunshot,Morristown Police Department,Firearm
Male,White,TX,Gunshot,Austin Police Department,Firearm
Male,White,TX,Gunshot,Austin Police Department,Non-lethal firearm
Male,White,NJ,Struck by vehicle,Lacey Township Police Department,No
Male,White,CA,Gunshot,Pleasanton Police Department,No
Male,Hispanic/Latino,CA,Gunshot,Los Angeles County Sheriff's Department,No
Male,White,OK,Gunshot,Oklahoma City Police Department,Firearm
Male,White,AZ,Gunshot,Mesa Police Department,Other
Male,Black,TX,Gunshot,Houston Police Department,Firearm
Male,Black,FL,Taser,Miami Police Department,Knife
Male,Black,CA,Gunshot,Los Angeles Police Department,Knife
Male,White,CA,Gunshot,Los Angeles County Sheriff's Department,Vehicle
Male,White,TX,Gunshot,Dallas Police Department,Firearm
Male,White,NH,Gunshot,Haverhill Police Department,Knife
Male,Hispanic/Latino,CA,Gunshot,Bakersfield Police Department,Firearm
Male,White,KY,Gunshot,Elizabethtown Police Depatment,Knife
Male,Black,NJ,Gunshot,Atlantic City Police Department,Knife
Male,Hispanic/Latino,TX,Gunshot,Hidalgo County SheriffŠ—Ès Office,Firearm
Male,White,OR,Gunshot,Beaverton Police Department,Firearm
Male,White,MO,Gunshot,Independence Police Department,Firearm
Male,Hispanic/Latino,CA,Gunshot,Atwater Police Department,Knife
Male,White,NC,Gunshot,Ashe County Sheriff's Office,Vehicle
Male,White,AZ,Gunshot,Phoenix Police Department,Firearm
Male,White,FL,Struck by vehicle,Tampa Police Department,No
Male,Black,IL,Gunshot,Chicago Police Department,Firearm
Male,White,UT,Gunshot,Parowan Police Department,Firearm
Male,Black,MS,Death in custody,Stonewall Police Department,No
Male,White,CA,Gunshot,Santa Cruz County Sheriff's Office,Firearm
Male,White,CA,Gunshot,Los Angeles Police Department,Other
Male,White,NV,Gunshot,Las Vegas Metropolitan Police Department,Firearm
Male,Black,GA,Taser,Gwinnett County Police Department,No
Male,Black,MO,Gunshot,Kansas City Police Department,Other
Male,Black,GA,Gunshot,Dekalb County Police Department,Firearm
Male,White,TX,Gunshot,Austin Police Department,Firearm
Male,White,CA,Gunshot,Yuba County Sheriff's Department,Firearm
Male,Native American,CO,Gunshot,Denver Police Department,Knife
Male,Black,FL,Gunshot,Plantation Police Department,No
Male,Black,GA,Gunshot,Newton County SheriffŠ—Ès Office,Unknown
Male,White,IL,Gunshot,River Forest Police Department,Firearm
Male,White,OH,Struck by vehicle,Franklin County Sheriff's Office,No
Male,White,WY,Gunshot,Casper Police Department,Unknown
Male,White,CA,Gunshot,"Shasta County Sheriff's Office, California Highway Patrol",Firearm
Male,White,UT,Taser,Utah State Highway Patrol,No
Male,Hispanic/Latino,MA,Gunshot,Lynn Police Department,Vehicle
Male,Black,FL,Gunshot,Lake County Sheriff's Office,Firearm
Male,White,NC,Death in custody,Henderson County Sheriff's Office,No
Male,White,OH,Gunshot,Trumbull County Sheriff's Office,Firearm
Male,White,MI,Gunshot,Michigan State Police,Unknown
Male,Black,CA,Gunshot,Moreno Valley Police Department,Knife
Male,White,CA,Gunshot,Los Angeles Police Department,Other
Male,White,KS,Gunshot,"Kansas City Police Department, US Marshals",Firearm
Male,White,WY,Gunshot,Cheyenne Police Department,Firearm
Male,Black,FL,Gunshot,Homesptead Police Department,Firearm
Male,Hispanic/Latino,WI,Gunshot,Wauwatosa Police Department,Other
Male,Arab-American,TN,Gunshot,Chattanooga Police Department,Firearm
Male,White,WA,Gunshot,Seattle Police Department,Knife
Male,Black,FL,Gunshot,Orlando Police Department,No
Male,White,CO,Gunshot,Fort Collins Police Department,Knife
Male,White,AZ,Gunshot,Phoenix Police Department,Firearm
Male,Black,TN,Gunshot,Memphis Police Department,No
Male,Hispanic/Latino,TX,Gunshot,Brownsville Police Department,Unknown
Male,Hispanic/Latino,CA,Gunshot,Farmersville Police Department,No
Male,Black,OH,Gunshot,University of Cincinnati Police Department,No
Male,White,CA,Gunshot,San Bernardino Sheriff's Department,Firearm
Male,Hispanic/Latino,TX,Gunshot,Harris County Sheriff's Office,Firearm
Male,White,KS,Gunshot,"Colby Police Department, Thomas County Sheriff's Office",Firearm
Male,White,MS,Death in custody,Southaven Police Department,No
Male,Asian/Pacific Islander,CA,Gunshot,Fremont Police Department,Knife
Male,White,OK,Gunshot,Midwest City Police Department,Firearm
Male,White,TX,Gunshot,Chambers County Sheriff's Office,Firearm
Male,Black,PA,Gunshot,Philadelphia Police Department,Firearm
Male,White,GA,Gunshot,Wayne County SheriffŠ—Ès Office,Firearm
Male,White,WV,Death in custody,Weston Police Department,No
Male,White,FL,Gunshot,Broward Sheriff's Office,Firearm
Male,White,AL,Gunshot,Opp Police Department,Firearm
Male,White,GA,Gunshot,Bartow County Sheriff's Office,Other
Male,Black,GA,Struck by vehicle,Worth County Sheriff's Department,No
Male,Hispanic/Latino,WI,Gunshot,Green County Sheriff's Department,Firearm
Male,Black,OH,Gunshot,Montgomery County SheriffŠ—Ès Office,Firearm
Male,Black,OK,Gunshot,Oklahoma City Police Department,Knife
Male,White,WY,Gunshot,Converse County Sheriff's Office,Non-lethal firearm
Male,White,MN,Gunshot,Plymouth Police Department,No
Male,White,SC,Gunshot,Horry County Police Department,Firearm
Female,White,CA,Gunshot,Placer County Sheriff's Office,Firearm
Male,White,CA,Gunshot,Los Angeles Police Department,Firearm
Male,White,LA,Gunshot,New Orleans Police Department,Unknown
Male,White,NC,Gunshot,Stokes County Sheriff's Department,Knife
Male,White,GA,Gunshot,Decatur County SheriffŠ—Ès Office,Firearm
Male,Black,NV,Gunshot,Las Vegas Metropolitan Police Department,Non-lethal firearm
Male,Black,LA,Gunshot,Shreveport Police Department,Firearm
Male,White,SC,Gunshot,Seneca Police Department,No
Male,White,LA,Gunshot,"Terrebonne Parish Sheriff's Office, Houma Police Department, Louisiana State Police",Non-lethal firearm
Male,Black,FL,Gunshot,Florida Highway Patrol,Firearm
Male,White,SC,Gunshot,Lexington County Sheriff's Department,Knife
Male,White,TN,Gunshot,Bradley County Sheriff's Department,No
Male,White,CO,Gunshot,Boulder Police Department,Knife
Male,White,AR,Gunshot,Manila Police Department,Knife
Male,Hispanic/Latino,NM,Gunshot,Do’±a Ana County Sheriff's Office,Firearm
Male,Hispanic/Latino,CA,Gunshot,Los Angeles County Sheriff's Department,Other
Male,White,UT,Gunshot,"Logan Police Department, Cache County Sheriff's Office",Firearm
Male,Asian/Pacific Islander,CA,Death in custody,San Francisco Police Department,No
Male,Hispanic/Latino,MA,Taser,Worcester Police Department,No
Male,White,CA,Gunshot,California Highway Patrol,Firearm
Male,White,NV,Gunshot,Douglas County Sheriff's Office,Firearm
Male,Hispanic/Latino,TX,Gunshot,Fort Worth Police Department,Firearm
Male,Hispanic/Latino,NM,Gunshot,Albuquerque Police Department,Firearm
Male,White,NM,Gunshot,Roswell Police Department and Chaves County Sheriff's Office,Firearm
Male,Unknown,WV,Gunshot,Nitro Police Department,Firearm
Male,White,TX,Gunshot,Houston Police Department,Vehicle
Male,Unknown,AZ,Gunshot,Tuscon Police Department,Firearm
Male,White,MI,Struck by vehicle,St Clair Shores Police Department,No
Male,White,TX,Death in custody,Dallas County Sheriff's Office,No
Male,Black,CA,Gunshot,Oakland Police Department,Firearm
Male,White,PA,Gunshot,South Londonderry Police Department,Firearm
Male,White,IN,Gunshot,Muncie Police Department,Non-lethal firearm
Male,White,VA,Gunshot,Powhatan County SheriffŠ—Ès Office,Firearm
Male,Hispanic/Latino,CA,Gunshot,Orange County Sheriff's Department and US Border Patrol,No
Male,Hispanic/Latino,TN,Gunshot,Metropolitan Nashville Police Department,Non-lethal firearm
Male,Black,VA,Gunshot,Richmond Police Department,Firearm
Male,White,WI,Gunshot,Greenfield Police Department,Knife
Male,White,WA,Gunshot,Tacoma Police Department,Firearm
Male,Black,HI,Gunshot,Maui Police Department,Firearm
Male,White,KY,Gunshot,Louisville Metro Police Department,Knife
Male,Black,IL,Gunshot,Champaign Police Department,Other
Male,Black,GA,Taser,DeKalb County Police Department,No
Male,Hispanic/Latino,KY,Gunshot,Elsmere Police Department,Knife
Male,White,CA,Gunshot,Fresno Police Department,Non-lethal firearm
Male,Hispanic/Latino,NV,Gunshot,Las Vegas Police Department,Other
Male,Black,TX,Gunshot,Arlington Police Department,No
Male,Black,CA,Gunshot,Long Beach Police Department,Knife
Male,Black,SC,Gunshot,Dorchester County Sheriff's Office,Firearm
Male,White,CT,Death in custody,Hartford Police Department,No
Male,White,MT,Gunshot,Mineral County Sheriff's Department,Vehicle
Male,Unknown,TX,Gunshot,Brookshire Police Department,Firearm
Male,White,NC,Gunshot,Gaston County Police Department,Firearm
Male,White,WA,Gunshot,Spokane Police Department,Firearm
Male,Black,NC,Gunshot,Greenville Police Department,Firearm
Male,White,OK,Gunshot,Ardmore Police Department,No
Male,Black,IN,Gunshot,Indianapolis Metropolitan Police Department,Vehicle
Male,Hispanic/Latino,CA,Gunshot,San Jose Police Department,Knife
Male,Unknown,PA,Gunshot,Pittston Police Department,Non-lethal firearm
Male,White,AZ,Gunshot,Gilbert Police Department,Vehicle
Male,White,NE,Gunshot,Douglas County Sheriff's Office,Firearm
Male,White,ID,Gunshot,Bonner County Sheriff's Office and Sandpoint Police Department,Firearm
Male,White,TX,Gunshot,Waco Police Department,Knife
Male,Black,CA,Gunshot,Oakland Police Department,Firearm
Female,Black,CA,Gunshot,Los Angeles Police Department,Knife
Male,Hispanic/Latino,CA,Gunshot,Riverside County Sheriff's Department,Firearm
Male,White,TX,Gunshot,Texas Department of Public Safety,Firearm
Male,White,NM,Gunshot,Lea County Sheriff's Department and Hobbs Police Department,Unknown
Male,Black,OH,Gunshot,Toledo Police Department,Firearm
Male,Black,NY,Gunshot,New York Police Department,Firearm
Male,Hispanic/Latino,TX,Gunshot,Boerne Police Department,Firearm
Male,Black,MD,Gunshot,Prince George's County Police Department,No
Male,White,IN,Gunshot,Jefferson County IN Sheriff's Office,No
Male,Black,CA,Gunshot,Sunnyvale Police Department,Firearm
Male,White,CA,Gunshot,Kern County Sheriff's Office,Firearm
Male,White,NV,Gunshot,Carson City Sheriff's Office,Firearm
Male,Hispanic/Latino,CA,Taser,"Los Angeles County SheriffŠ—Ès Department, Baldwin Park Police Department",No
Male,Hispanic/Latino,CA,Gunshot,San Jose Police Department,Firearm
Male,White,TX,Gunshot,Kerrville Police Department,Firearm
Male,White,CT,Gunshot,Connecticut State Police and Manchester Police Department,Knife
Male,Black,TX,Gunshot,Houston Police Department,Firearm
Male,Hispanic/Latino,CA,Gunshot,San Jose Police Department,No
Male,Black,NY,Death in custody,New York Department of Corrections and Community Supervision,No
Male,Black,MO,Gunshot,St Louis Metropolitan Police Department,Disputed
Male,White,WA,Gunshot,Stevens County Sheriff's Office,Firearm
Male,Black,MI,Gunshot,"Bloomfield Hills Public Safety Department, Warren Police Department",Firearm
Male,Hispanic/Latino,CA,Gunshot,California Department of Corrections and Rehabilitation,Unknown
Male,White,NC,Gunshot,"Maggie Valley Police Department, Haywood County Sheriff's Office, and Waynesville Police Department",Firearm
Male,White,AL,Gunshot,Tuscaloosa Police Department,No
Male,Hispanic/Latino,CA,Gunshot,Ontario Police Department,Firearm
Male,White,WA,Gunshot,Mason County Sheriff's Office,Unknown
Male,White,NC,Gunshot,Wake Forest Police Department,Knife
Male,White,MD,Gunshot,Maryland State Police,No
Male,White,MN,Gunshot,Itasca County Sheriff's office,Firearm
Male,White,AZ,Taser,"Scottsdale Police Department, Phoenix Police Department",No
Male,Black,NY,Gunshot,Troy Police Department,Firearm
Male,White,CA,Gunshot,Bakersfield Police Department,Other
Male,White,KS,Gunshot,Wichita Police Department,Vehicle
Male,White,AL,Gunshot,Arab Police Department,Unknown
Male,White,NJ,Gunshot,Brick Township Police Department,Non-lethal firearm
Male,White,NC,Gunshot,"Archdale Police Department, High Point Police Department",Firearm
Male,White,FL,Gunshot,Jacksonville Sheriff's Office,Firearm
Male,White,NV,Gunshot,Las Vegas Metropolitan Police Department,Firearm
Male,White,VA,Gunshot,King George County Sheriff's Office,Knife
Male,Hispanic/Latino,NM,Gunshot,"New Mexico State Police, Santa Fe Police Department, Santa Fe County Sheriff's Office",Firearm
Male,Black,PA,Gunshot,Chester County Sheriff's Office,Knife
Male,White,FL,Gunshot,Hillsborough County Sheriff's Office,Firearm
Male,White,AZ,Gunshot,Phoenix Police Department,Firearm
Male,White,TN,Gunshot,Hendersonville Police Department,Non-lethal firearm
Male,Hispanic/Latino,FL,Gunshot,Miami-Dade Police Department,Firearm
Male,White,OH,Gunshot,Washington County Sheriff's Office,Firearm
Male,White,TN,Gunshot,Hamilton County Sheriff's Office,Firearm
Male,Black,CA,Gunshot,Oakland Police Department,Other
Male,Black,TX,Gunshot,Dallas Police Department,Non-lethal firearm
Male,Hispanic/Latino,CA,Gunshot,Los Angeles Police Department,Other
Male,White,CA,Gunshot,San Diego Police Department,Knife
Male,White,VA,Struck by vehicle,Virginia State Police,No
Female,White,VA,Struck by vehicle,Virginia State Police,No
Male,White,UT,Gunshot,Spanish Fork Police Department,Firearm
Male,Hispanic/Latino,TX,Gunshot,Bexar County Sheriff's Office,Disputed
Male,Black,NY,Gunshot,New York Police Department,No
Male,Black,NV,Gunshot,Las Vegas Metropolitan Police Department,Firearm
Male,Hispanic/Latino,TX,Gunshot,San Antonio Police Department,Knife
Male,Hispanic/Latino,IL,Gunshot,Chicago Police Department,Vehicle
Male,White,OK,Gunshot,Cushing Police Department,Firearm
Male,Hispanic/Latino,AZ,Gunshot,Tucson Police Department,Firearm
Male,White,CO,Gunshot,Loveland Police Department,Knife
Male,White,TX,Gunshot,Longview Police Department,Firearm
Male,Black,OH,Taser,Cincinnati Police Department,No
Male,Black,WV,Gunshot,Bluefield Police Department,Firearm
Male,Black,NJ,Struck by vehicle,Newark Police Department,Unknown
Male,White,GA,Taser,Harris County Sheriff's Office,No
Male,White,NM,Gunshot,"Carlsbad Police Department, Lake Arthur Police Department",Firearm
Male,White,OH,Gunshot,Twinsburg Police Department,Firearm
Male,White,CA,Death in custody,Santa Clara County Sheriff's Office,No
Male,White,AZ,Gunshot,Yavapai County Sheriff's Office,Firearm
Male,White,SD,Gunshot,Mitchell Police Division,Firearm
Male,White,CA,Gunshot,Hoopa Valley Tribal Police Department,Firearm
Male,Hispanic/Latino,IN,Gunshot,"West Baden Police Department, Indiana State Police",Other
Male,White,TX,Gunshot,Parker County Sheriff's Department,Firearm
Male,Black,NC,Gunshot,Durham Police Department,Non-lethal firearm
Male,Hispanic/Latino,CA,Gunshot,Ontario Police Department,Other
Male,Hispanic/Latino,CA,Taser,Long Beach Police Department,No
Male,White,FL,Gunshot,Miami Police Department,Firearm
Male,White,RI,Death in custody,Providence Police Department,No
Male,Black,VA,Gunshot,Virginia Beach Police Department,Firearm
Female,Black,VA,Gunshot,Virginia Beach Police Department,No
Male,Other,LA,Gunshot,Shreveport Police Department,Firearm
Male,White,PA,Taser,Pennsylvania State Police,No
Male,Hispanic/Latino,NM,Death in custody,Bernaillo Police Department,No
Male,White,NH,Gunshot,Merrimack Police Department,Knife
Male,Black,MI,Other,Lathrup Village Police Department,No
Male,Hispanic/Latino,CA,Gunshot,Fresno Police Department,Other
Male,White,NM,Gunshot,Hobbs Police Department,Firearm
Male,Black,AL,Death in custody,Huntsville Police Department,No
Male,White,WI,Gunshot,Ashwaubenon Department of Public Safety,Firearm
Male,Black,MO,Gunshot,Kansas City Police Department,Other
Male,Native American,AK,Gunshot,Alaska State Troopers and Fairbanks Police Department,Firearm
Male,Black,IN,Gunshot,Indiana State Police,Firearm
Male,White,CA,Gunshot,Lodi Police Department,Firearm
Male,Hispanic/Latino,CA,Gunshot,Fontana Police Department,Knife
Male,Hispanic/Latino,CA,Gunshot,Los Angeles County Sheriff's Department,Firearm
Male,Unknown,PA,Gunshot,Federal Bureau of Investigation,Unknown
Female,Hispanic/Latino,CO,Death in custody,Jefferson County Sheriff's Office,No
Male,Asian/Pacific Islander,NY,Gunshot,Potsdam Police Department,Knife
Male,Hispanic/Latino,IL,Death in custody,Chicago Police Department,No
Male,White,AL,Gunshot,Talladega County Sheriff's Office,Unknown
Male,White,IA,Gunshot,Washington County Sheriff's Office,Firearm
Male,White,TN,Gunshot,Knox County Sheriff's Office Swat team,Firearm
Male,Black,OK,Gunshot,Grant County Sheriff's Office,Firearm
Male,White,OH,Death in custody,Springfield Township Police Department,No
Male,White,TX,Gunshot,Mineola Police Department,Vehicle
Male,Black,KY,Gunshot,Unknown,Firearm
Male,White,CA,Gunshot,Barstow Police Department,No
Male,Black,LA,Gunshot,St Bernard Sheriff's Office,Other
Male,White,CO,Gunshot,Broomfield Police Department,Firearm
Male,Hispanic/Latino,CA,Gunshot,Los Angeles Police Department,Firearm
Male,Hispanic/Latino,FL,Gunshot,Miami-Dade Police Department,Unknown
Male,Native American,AK,Gunshot,"Fairbanks Police Department, Alaska State Troopers",Firearm
Male,Black,LA,Gunshot,US Marshals violent offender taskforce,Firearm
Male,White,MI,Gunshot,Michigan State Police,Firearm
Male,Hispanic/Latino,CA,Struck by vehicle,Rialto Police Department,No
Male,Hispanic/Latino,CA,Gunshot,Los Angeles Police Department,Firearm
Male,White,KY,Gunshot,"Kentucky State Police, Rockcastle County Sheriff's Department",Firearm
Male,Asian/Pacific Islander,CA,Gunshot,El Monte Police Department,Knife
Male,White,TN,Gunshot,Dickson County Sheriff's Office,Unknown
Male,White,CA,Gunshot,San Bernardino County Sheriff's Department,No
Male,White,AL,Gunshot,Washington County Sheriff's Office,Firearm
Male,White,LA,Gunshot,"St Tammany Parish Sheriff's Office, Slidell Police Department, Louisiana State Police",Firearm
Male,Native American,WA,Death in custody,"Tulalip Tribal Police Department, Snohomish County Sheriff's Office",No
Male,White,IN,Gunshot,"Shelbyville Police Department, Shelby County SheriffŠ—Ès Department",Firearm
Male,White,VA,Gunshot,Harrisonburg Police Department,Firearm
Male,Hispanic/Latino,TX,Gunshot,Dallas Police Department,Firearm
Female,White,MI,Struck by vehicle,Benton Charter Township Police Department,No
Male,Black,CA,Gunshot,Alameda County Sheriff's Office,Firearm
Male,Hispanic/Latino,WI,Gunshot,Green Lake County Sheriff's Office,Firearm
Male,White,CA,Gunshot,Sand City Police Department,Firearm
Female,White,CA,Gunshot,Sand City Police Department,Firearm
Male,White,TX,Gunshot,Texas Department of Public Safety,Unknown
Male,White,FL,Gunshot,Volusia County Sheriff's Office,Firearm
Male,Hispanic/Latino,FL,Gunshot,Polk County Sheriff's Office,No
Male,White,NV,Gunshot,North Las Vegas Police Department,Firearm
Male,White,CA,Gunshot,Shasta County Sheriff's Office,Firearm
Male,White,FL,Gunshot,Okaloosa County Sheriff's Office,Firearm
Male,Black,UT,Gunshot,Salt Lake City Police Department,Knife
Male,Black,DE,Gunshot,Wilmington Police Department,Firearm
Male,Black,MD,Gunshot,Baltimore County Police Department,No
Male,White,TX,Gunshot,McKinney Police Department,Firearm
Male,Black,FL,Gunshot,Miami-Dade Police Department,Knife
Male,White,VA,Gunshot,Grayson County Sheriff's Office,Firearm
Male,White,CO,Gunshot,Fountain Police Department,Firearm
Male,Native American,MN,Gunshot,St Paul Police Department,Other
Male,White,OH,Gunshot,Akron Police Department,No
Male,Black,IL,Gunshot,Chicago Police Department,Knife
Male,White,AZ,Gunshot,Yavapai County Sheriff's Office,Firearm
Female,Hispanic/Latino,CA,Gunshot,Los Angeles Police Department,Knife
Male,Black,LA,Gunshot,East Baton Rouge Sheriff's Office,Knife
Male,Hispanic/Latino,NM,Gunshot,Lovington Police Department,Firearm
Male,White,GA,Gunshot,Walker County Sheriff's Office,Firearm
